tempo rho11 rho22 rho33 soma
fs
438 0.481628 0.481627 0.0367451 1
439 0.480486 0.480486 0.0390285 1
440 0.479309 0.479309 0.0413816 1
441 0.478098 0.478098 0.0438037 1
442 0.476853 0.476853 0.0462943 1
443 0.475574 0.475573 0.0488528 1
444 0.474261 0.474261 0.0514785 1
445 0.472915 0.472914 0.054171 1
446 0.471535 0.471535 0.0569294 1
447 0.470124 0.470123 0.0597532 1
448 0.468679 0.468679 0.0626417 1
449 0.467203 0.467203 0.0655942 1
450 0.465695 0.465695 0.06861 1
451 0.464156 0.464156 0.0716883 1
452 0.462586 0.462586 0.0748286 1
453 0.460985 0.460985 0.0780299 1
454 0.459354 0.459354 0.0812916 1
455 0.457694 0.457694 0.0846128 1
456 0.456004 0.456004 0.0879929 1
457 0.454285 0.454285 0.0914309 1
458 0.452537 0.452537 0.094926 1
459 0.450761 0.450761 0.0984775 1
460 0.448958 0.448958 0.102085 1
461 0.447127 0.447127 0.105746 1
462 0.445269 0.445269 0.109462 1
463 0.443385 0.443385 0.11323 1
464 0.441475 0.441475 0.11705 1
465 0.439539 0.439539 0.120921 1
466 0.437578 0.437579 0.124843 1
467 0.435593 0.435593 0.128814 1
468 0.433583 0.433584 0.132833 1
469 0.43155 0.431551 0.136899 1
470 0.429494 0.429494 0.141012 1
471 0.427415 0.427415 0.14517 1
472 0.425314 0.425314 0.149372 1
473 0.423191 0.423191 0.153618 1
474 0.421046 0.421047 0.157906 1
475 0.418882 0.418882 0.162236 1
476 0.416697 0.416697 0.166606 1
477 0.414492 0.414493 0.171016 1
478 0.412268 0.412269 0.175463 1
479 0.410026 0.410026 0.179948 1
480 0.407765 0.407766 0.184469 1
481 0.405487 0.405488 0.189025 1
482 0.403192 0.403193 0.193615 1
483 0.40088 0.400881 0.198238 1
484 0.398553 0.398554 0.202893 1
485 0.39621 0.396211 0.207579 1
486 0.393853 0.393854 0.212294 1
487 0.391481 0.391482 0.217037 1
488 0.389095 0.389096 0.221808 1
489 0.386697 0.386698 0.226605 1
490 0.384286 0.384287 0.231428 1
491 0.381862 0.381864 0.236274 1
492 0.379428 0.379429 0.241143 1
493 0.376983 0.376984 0.246034 1
494 0.374527 0.374528 0.250945 1
495 0.372062 0.372063 0.255875 1
496 0.369587 0.369589 0.260824 1
497 0.367105 0.367106 0.26579 1
498 0.364614 0.364615 0.270771 1
499 0.362116 0.362117 0.275767 1
500 0.359611 0.359612 0.280776 1
501 0.3571 0.357102 0.285798 1
502 0.354584 0.354585 0.290831 1
503 0.352062 0.352064 0.295874 1
504 0.349537 0.349538 0.300925 1
505 0.347007 0.347009 0.305984 1
506 0.344475 0.344476 0.311049 1
507 0.34194 0.341941 0.316119 1
508 0.339403 0.339404 0.321193 1
509 0.336864 0.336866 0.32627 1
510 0.334325 0.334327 0.331348 1
511 0.331786 0.331788 0.336426 1
512 0.329247 0.329249 0.341504 1
513 0.326709 0.326711 0.346579 1
514 0.324173 0.324175 0.351651 1
515 0.32164 0.321642 0.356719 1
516 0.319109 0.319111 0.36178 1
517 0.316581 0.316583 0.366835 1
518 0.314058 0.31406 0.371882 1
519 0.311539 0.311541 0.376919 1
520 0.309026 0.309028 0.381946 1
521 0.306518 0.30652 0.386961 1
522 0.304017 0.304019 0.391963 1
523 0.301523 0.301525 0.396952 1
524 0.299037 0.299039 0.401924 1
525 0.296558 0.296561 0.406881 1
526 0.294089 0.294091 0.41182 1
527 0.291629 0.291631 0.41674 1
528 0.289179 0.289181 0.42164 1
529 0.286739 0.286742 0.426519 1
530 0.284311 0.284314 0.431375 1
531 0.281894 0.281897 0.436209 1
532 0.27949 0.279493 0.441017 1
533 0.277099 0.277101 0.4458 1
534 0.27472 0.274723 0.450556 1
535 0.272356 0.272359 0.455285 1
536 0.270007 0.270009 0.459984 1
537 0.267672 0.267675 0.464653 1
538 0.265353 0.265356 0.46929 1
539 0.263051 0.263054 0.473896 1
540 0.260765 0.260768 0.478468 1
541 0.258496 0.258499 0.483005 1
542 0.256245 0.256248 0.487506 1
543 0.254013 0.254016 0.491971 1
544 0.251799 0.251802 0.496398 1
545 0.249605 0.249608 0.500787 1
546 0.247431 0.247434 0.505135 1
547 0.245277 0.24528 0.509443 1
548 0.243144 0.243147 0.513709 1
549 0.241033 0.241036 0.517932 1
550 0.238943 0.238946 0.522111 1
551 0.236876 0.236879 0.526245 1
552 0.234832 0.234835 0.530333 1
553 0.232811 0.232814 0.534374 1
554 0.230814 0.230818 0.538368 1
555 0.228842 0.228845 0.542313 1
556 0.226894 0.226897 0.546208 1
557 0.224972 0.224975 0.550053 1
558 0.223075 0.223079 0.553846 1
559 0.221205 0.221208 0.557587 1
560 0.219361 0.219364 0.561275 1
561 0.217544 0.217548 0.564908 1
562 0.215755 0.215758 0.568486 1
563 0.213994 0.213997 0.572009 1
564 0.212261 0.212264 0.575475 1
565 0.210557 0.21056 0.578883 1
566 0.208882 0.208885 0.582233 1
567 0.207236 0.207239 0.585525 1
568 0.20562 0.205624 0.588756 1
569 0.204035 0.204039 0.591926 1
570 0.202481 0.202484 0.595035 1
571 0.200957 0.200961 0.598082 1
572 0.199465 0.199468 0.601067 1
573 0.198005 0.198008 0.603987 1
574 0.196576 0.19658 0.606844 1
575 0.19518 0.195184 0.609635 1
576 0.193817 0.193821 0.612361 1
577 0.192488 0.192491 0.615021 1
578 0.191191 0.191195 0.617614 1
579 0.189928 0.189932 0.62014 1
580 0.1887 0.188703 0.622597 1
581 0.187505 0.187509 0.624986 1
582 0.186345 0.186349 0.627306 1
583 0.18522 0.185224 0.629556 1
584 0.18413 0.184134 0.631735 1
585 0.183076 0.18308 0.633844 1
586 0.182057 0.182061 0.635882 1
587 0.181074 0.181078 0.637848 1
588 0.180127 0.180131 0.639742 1
589 0.179217 0.179221 0.641563 1
590 0.178343 0.178347 0.643311 1
591 0.177505 0.177509 0.644985 1
592 0.176705 0.176709 0.646586 1
593 0.175942 0.175946 0.648112 1
594 0.175216 0.17522 0.649564 1
595 0.174527 0.174532 0.650941 1
596 0.173877 0.173881 0.652242 1
597 0.173264 0.173268 0.653468 1
598 0.172689 0.172693 0.654618 1
599 0.172152 0.172156 0.655692 1
600 0.171653 0.171657 0.65669 1
601 0.171193 0.171197 0.657611 1
602 0.170771 0.170775 0.658455 1
